Subject,Sex,Age,Phase,Trial,Stimulus,RewardPr,Response,Responses,RTs,Rewards
2,NA,NA,1,1,A,0.9,space,2,"459,818","0,1"
2,NA,NA,1,2,B,0,space,2,"331,746","0,0"
2,NA,NA,1,3,B,0,space,0,NA,NA
