Hostname,Group,Subject,AParameters,BParameters,XParameters,YParameters,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,2,2,bread.png,apple.png,spaghetti.png,banana.png,NA,NA,NA,NA,4159,Start,1,ITI,508.283,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,2,2,bread.png,apple.png,spaghetti.png,banana.png,NA,NA,NA,NA,36360,Start,1,Start,36000000,T,NA,0,F,0,<space>,NA,F,<lctrl>
helix,2,2,bread.png,apple.png,spaghetti.png,banana.png,NA,NA,NA,NA,36399,Start,1,Start,36000000,T,NA,0,F,0,<space>,NA,F,<lalt>
helix,2,2,bread.png,apple.png,spaghetti.png,banana.png,NA,NA,NA,NA,36521,Start,1,Start,36000000,T,NA,0,F,0,<space>,NA,F,<rshift>
