Hostname,Group,Subject,AParameters,BParameters,XParameters,YParameters,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,2639,Start,1,ITI,901.887,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,10641,Start,1,Start,36000000,T,NA,0,F,0,<space>,NA,F,y
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,96483,Start,1,Start,36000000,T,NA,0,F,0,<space>,93841,F,<space>
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,97301,Train1,1,ITI,784.813,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,98105,Train1,1,X+Y+Question,5000,T,Yes,1000,F,1,y+n,796,T,y
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,99883,Train1,2,ITI,750.464,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,101180,Train1,2,G+Question,5000,T,No,1000,F,1,y+n,1289,T,n
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,102888,Train1,3,ITI,685.13,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,103850,Train1,3,A+Question,5000,T,Yes,1000,F,1,y+n,952,T,y
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,105497,Train2,1,ITI,622.975,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,106679,Train2,1,X+Question,5000,T,No,1000,F,1,y+n,1176,T,y
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,108456,Train2,2,ITI,756.479,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,109122,Train2,2,G+Question,5000,T,No,1000,F,1,y+n,659,T,y
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,110804,Train2,3,ITI,663.55,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,112255,Train2,3,A+B+Question,5000,T,Yes,1000,F,1,y+n,1442,T,n
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,114180,RateInfo,1,ITI,892.975,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,131019,RateInfo,1,RateInfo,36000000,T,NA,0,F,0,<space>,16835,F,<space>
helix,3,6,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,131853,Rate,1,ITI,794.95,T,NA,NA,F,NA,NA,NA,F,<timeout>
