Hostname,Group,Subject,AParameters,BParameters,XParameters,YParameters,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,4,3,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,3259,Start,1,ITI,894.753,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,3,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,18201,Start,1,Start,36000000,T,NA,0,F,0,<space>,NA,F,<lalt>
helix,4,3,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,18236,Start,1,Start,36000000,T,NA,0,F,0,<space>,NA,F,<lctrl>
helix,4,3,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,18397,Start,1,Start,36000000,T,NA,0,F,0,<space>,NA,F,<rshift>
