Hostname,Group,Subject,AParameters,BParameters,XParameters,YParameters,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,3,4,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,2884,Start,1,ITI,934.766,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,4,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,5837,Start,1,Start,36000000,T,NA,0,F,0,<space>,2948,F,<space>
helix,3,4,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,6821,Train1,1,ITI,944.11,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,4,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,7382,Train1,1,X+Y+Question,5000,T,Yes,0,F,1,y+n,NA,F,<lctrl>
helix,3,4,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,7746,Train1,1,X+Y+Question,5000,T,Yes,0,F,1,y+n,NA,F,<lalt>
helix,3,4,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,7928,Train1,1,X+Y+Question,5000,T,Yes,0,F,1,y+n,NA,F,<rshift>
