Hostname,Group,Subject,AParameters,BParameters,XParameters,YParameters,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,3,1,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,2754,Start,1,ITI,713.002,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,1,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,4085,Start,1,Start,36000000,T,NA,0,F,0,<space>,NA,F,y
helix,3,1,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,5542,Start,1,Start,36000000,T,NA,0,F,0,<space>,2782,F,<space>
helix,3,1,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,6122,Train1,1,ITI,549.729,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,1,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,7113,Train1,1,A+Question,5000,T,Yes,1000,F,1,y+n,986,T,y
helix,3,1,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,8710,Train1,2,ITI,582.331,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,1,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,9598,Train1,2,G+Question,5000,T,No,1000,F,1,y+n,882,T,n
helix,3,1,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,11405,Train1,3,ITI,787.333,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,3,1,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,12584,Train1,3,X+Y+Question,5000,T,Yes,0,F,1,y+n,NA,F,<lctrl>
helix,3,1,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,12612,Train1,3,X+Y+Question,5000,T,Yes,0,F,1,y+n,NA,F,<lalt>
helix,3,1,banana.png,spaghetti.png,apple.png,bread.png,NA,NA,NA,NA,12810,Train1,3,X+Y+Question,5000,T,Yes,0,F,1,y+n,NA,F,<rshift>
