Hostname,Group,Subject,AParameters,BParameters,XParameters,YParameters,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,3072,Start,1,ITI,704.265,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,3862,Start,1,Start,36000000,T,NA,0,F,0,<space>,NA,F,y
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,5100,Start,1,Start,36000000,T,NA,0,F,0,<space>,2023,F,<space>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,6038,Train1,1,ITI,903.906,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,7232,Train1,1,A+Question,5000,T,Yes,1000,F,1,y+n,1187,T,n
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,8761,Train1,2,ITI,514.659,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,11006,Train1,2,G+Question,5000,T,No,1000,F,1,y+n,2239,T,y
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,12742,Train1,3,ITI,718.966,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,15809,Train1,3,X+Y+Question,5000,T,Yes,1000,F,1,y+n,3061,T,y
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,17830,Train2,1,ITI,823.524,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,19549,Train2,1,G+Question,5000,T,No,1000,F,1,y+n,1711,T,y
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,21402,Train2,2,ITI,840.89,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,26405,Train2,2,A+B+Question,5000,T,Yes,0,F,1,y+n,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,27343,Train2,3,ITI,920.479,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,29549,Train2,3,X+Question,5000,T,No,1000,F,1,y+n,2201,T,n
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,31241,RateInfo,1,ITI,671.644,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,36651,RateInfo,1,RateInfo,36000000,T,NA,0,F,0,<space>,NA,F,q
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,41770,RateInfo,1,RateInfo,36000000,T,NA,0,F,0,<space>,10524,F,<space>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,42584,Rate,1,ITI,776.729,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,45587,Rate,1,A+Rating,36000000,T,RatingOK,1000,F,1,1+2+3+4+5+6+7,2995,T,3
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,47330,Rate,2,ITI,727.34,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,51703,Rate,2,Y+Rating,36000000,T,RatingOK,1000,F,1,1+2+3+4+5+6+7,4365,T,4
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,53359,Rate,3,ITI,640.533,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,56972,Rate,3,B+Rating,36000000,T,RatingOK,1000,F,1,1+2+3+4+5+6+7,3607,T,4
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,58770,Rate,4,ITI,777.382,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,61581,Rate,4,X+Rating,36000000,T,RatingOK,1000,F,1,1+2+3+4+5+6+7,2804,T,3
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,63396,End,1,ITI,791.577,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,65236,End,1,End,36000000,T,NA,0,F,0,q,NA,F,<space>
helix,4,1,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,65974,End,1,End,36000000,T,NA,0,F,0,q,2572,F,q
