Subject,AColor,Sex,Age,Phase,Trial,Stimulus,RewardPr,Responses,RTs,Rewards
24,blue,NA,NA,1,1,X,0.1,5,"865,1704,2215,3260,3578","0,0,0,0,1"
24,blue,NA,NA,1,2,X,0.1,3,"1593,2333,2811","1,0,0"
