Subject,AColor,Sex,Age,Phase,Trial,Stimulus,RewardPr,Responses,RTs,Rewards
16,red,NA,NA,1,1,A,0.9,1,"3920","1"
16,red,NA,NA,1,2,X,0.1,8,"390,796,1081,1893,2315,2681,3351,3892","0,0,1,0,0,1,0,0"
