Subject,AColor,Sex,Age,Phase,Trial,Stimulus,RewardPr,Responses,RTs,Rewards
3,blue,NA,NA,1,1,X,0.1,8,"623,1165,1475,1633,2215,2628,2915,3144","0,0,0,0,0,0,0,0"
3,blue,NA,NA,1,2,A,0.9,6,"378,1071,1677,2362,3056,3582","1,1,1,1,1,1"
