Subject,AColor,Sex,Age,Phase,Trial,Stimulus,RewardPr,Responses,RTs,Rewards
12,red,NA,NA,1,1,A,0.9,6,"570,1205,1668,2353,2999,3637","1,0,1,1,1,0"
12,red,NA,NA,1,2,X,0.1,6,"432,1333,1692,2032,2190,3010","0,0,0,0,1,0"
